"Case Date","Total Cases","Breakthroughs (Vaccinated Cases)","Unvaccinated Cases"
2021-09-08,2164,329,1835
2021-09-09,2187,355,1832
2021-09-10,1845,278,1567
2021-09-11,1360,234,1126
2021-09-12,1020,180,840
2021-09-13,1268,219,1049
2021-09-14,1879,347,1532
2021-09-15,1884,313,1571
2021-09-16,1752,318,1434
2021-09-17,1368,246,1122
2021-09-18,1124,207,917
2021-09-19,895,195,700
2021-09-20,1334,231,1103
2021-09-21,1716,313,1403
2021-09-22,1606,312,1294
2021-09-23,1673,344,1329
2021-09-24,1359,295,1064
2021-09-25,1027,227,800
2021-09-26,794,181,613
2021-09-27,1124,268,856
2021-09-28,1795,350,1445
2021-09-29,1696,383,1313
2021-09-30,1721,312,1409
2021-10-01,1368,258,1110
2021-10-02,1078,221,857
2021-10-03,843,166,677
2021-10-04,1255,283,972
2021-10-05,1972,492,1480
2021-10-06,1749,388,1361
2021-10-07,1650,355,1295
2021-10-08,1242,327,915
2021-10-09,857,205,652
2021-10-10,1221,309,912
2021-10-11,1093,289,804
2021-10-12,1821,446,1375
2021-10-13,1239,326,913
2021-10-14,1503,387,1116
2021-10-15,1324,326,998
2021-10-16,1090,296,794
2021-10-17,629,153,476
2021-10-18,1352,376,976
2021-10-19,1380,375,1005
2021-10-20,2343,594,1749
2021-10-21,1645,419,1226
2021-10-22,1671,434,1237
2021-10-23,1245,317,928
2021-10-24,726,173,553
2021-10-25,1625,414,1211
2021-10-26,2033,454,1579
2021-10-27,1841,382,1459
2021-10-28,1816,357,1459
2021-10-29,1615,300,1315
